S_No,PLR #,Year,Date,Incident,Status,Machine,Priority,Responsible Department,,,
75,163,2022,24-Aug-22,"Due to disturbance in KE network, power, frequency & voltage surges observed at STG # 04 generator, 86 G1 & 86 G2 actuated and consequently machine tripped on 59P security(over voltage). After KE go-ahead machine was synchronized at 0255 hrs & reached 55 MW at 0420 hrs,",Closed,STG#4,Low,KE,,,
76,164,2022,3-Aug-22,"i. Tripping of Boiler-01 coal volumetric feeders (B, C & D) occurred. Consequently, Boiler-01 load was reduced from 237 to 183 Met/hr, STG-04 load was reduced from 55 to 25 MW.",Closed,B#1,Medium,Mechanical,,,
77,165,2022,13-Sep-22,Outage of Boiler # 1 to attend tube leakage and accordingly shutdown of STG # 4 suspension of power export to KE.,CLOSED,B#1,High,Mechanical,,,
78,166,2022,4-Oct-22,"Failure of MCC control supply due to faulty under voltage coil resulting in stoppage of Auxiliary motors of STG # 4 (HP oil pump, Condensate pump & demister fan motors)",Closed,STG#4,High,E&I,,,
79,167,2022,13-Oct-22,"Breaker opening (86 G1) twice due to KE network disturbance (frequency disturbance) but machine remained on FSNL. However, machine tripped on high high exhaust temperature afterwards",Closed,STG#4,High,KE,,,
80,168,2022,22-Oct-22,"On October 21, 2022 50 Hz Purchaser energy meter screen got black at ~ 0600 hrs. and KE was informed. Accordingly, for replacement of purchaser energy meter by KE team machine breaker was opened and machine remained at FSNL due for planned activity.",Closed,STG#4,Low,-,,,
81,169,2022,"9,15,16,23,30,31 Oct-2022","STG # 04 load was reduced as per KE instructions during Oct, 2022",Closed,STG#4,Low,KE,,,
82,170,2022,20-Noc-22,"Due to disturbance in KE network, STG # 04 breaker opened on over frequency (Max frequency observed is 52.55 Hz), machine also tripped on over-voltage.",Closed,STG#4,Low,KE,,,
83,171,2022,"6,8,91,13 Nov -2022","STG # 04 load was reduced as per KE instructions during Oct, 2022",Closed,STG#4,Low,KE,,,
84,172,2022,2-Dec-22,"Due to disturbance in KE network, STG # 04 breaker opened on over frequency (Max frequency observed is 53.67 Hz), machine also tripped on over-voltage.",Closed,STG#4,Low,KE,,,
85,173,2022,"(Except 1,8) Dec-22","STG # 04 load was reduced as per KE instructions during Oct, 2022",Closed,STG#4,Low,KE,,,
86,174,2022,21st Dec 2022 ~ 4th Jan 2023,STG # 04 low load operation & shutdown of machine for 05 days due to lower ranking in merit order preference & lower demand in Dec / Jan 2023,Closed,STG#4,Low,Finance / Technical HO,,,
87,118,2021,26-Jan-21,"1. All VFD drives of 04 coal feeders, lime feeder & bed ash link conveyor of Boiler # 01 got trip simultaneously at 2038 hrs upon start-up of boiler # 02 Loop Seal Blower (CSK-2021 S). The Loop Seal Blower S was tripped on grounding fault due to dropped in voltage on 480 Volts bus bar.
 2. To save from Total Power Failure of FPCL / FFBL, STG # 04 was stopped as boiler # 01 steam generation was decreasing fast (254 to 49 Met/hr) and could result in tripping of STG # 01 & 02.",Open,B#1,High,Elect.,,,
88,119,2021,18-Mar-21,"On 18 Mar, 2021 Boiler # 02 Coal feeders (B&C) tripped at same time due to wet coal received from outh Africa (29th Shipment MV Top Weather). Owing to unavailability of 02 coal feeders at the same time NG burners were fired in Boiler # 02 which resulted in 0.13 MMSCF NG consumption.",Closed,B#2,High,SCM,,,
